catnum,major_minor_code,course_title,course_desc,course_type,units,course_level,active_flag,create_date,last_update_date,updated_by_user_id,optimistic_lock,locked_by_user_id
CHEM-4010,CHE,Senior Design II,"The second half of the capstone design sequence, in which the same student teams extend their process flowsheet with a complete reactor system: reactor selection among competing configurations, catalyst deactivation, and the trade-offs between conversion, selectivity, and downstream separation cost. Teams finalize a design that sizes a reactor system against a stated production and purity target, folding safety and economic constraints into the decision alongside kinetics, and deliver a final written and oral design report.",LEC,4,4,t,,,,,
CHEM-4015,CHE,Biopharmaceutical Engineering,"Covers the engineering of biologically produced drugs: bioreactor design and scale-up, cell culture kinetics, downstream purification steps such as chromatography, and the regulatory constraints particular to biologic manufacturing. Case studies of monoclonal antibody and vaccine production illustrate how process decisions are shaped by product purity and consistency requirements. Problem sets connect fermentation kinetics to reactor sizing and yield calculations.",LEC,4,4,t,,,,,
CHEM-4020,CHE,Global Quality Systems,"Examines the quality management systems that govern chemical and pharmaceutical manufacturing on a global scale: good manufacturing practice, statistical process control, root-cause investigation, and the documentation trail regulators expect. Case studies of manufacturing deviations and recalls illustrate how quality failures propagate through a supply chain. Students draft a quality system document for a hypothetical process as the course's main deliverable.",LEC,4,4,t,,,,,
CHEM-4025,CHE,Advanced Research and Special Problems,"A continuation track for students with prior independent research experience in the department, carrying a project into greater depth or over more than one semester. Students are expected to propose their own research question, defend their methodology to their advisor, and produce a report suitable as a foundation for a conference presentation or further study. Regular progress checkpoints replace the single end-of-term milestone used in the introductory research course.",IND,2,4,t,,,,,
CHEM-4030,CHE,Advances in Tissue Engineering,"Surveys current approaches to engineering biological tissue: scaffold materials and fabrication methods, cell seeding and bioreactor culture, and the transport limitations that govern nutrient and oxygen delivery within engineered constructs. Recent literature on organ-on-chip systems and 3D bioprinting supplements the core coverage. Students critique a current research paper and propose an extension as a term assignment.",LEC,4,4,t,,,,,
CHEM-4035,CHE,Process Safety and Loss Prevention,"Examines how chemical processes fail and the engineering practices that keep those failures from becoming incidents: hazard identification methods, relief system sizing, layers of protection analysis, and inherently safer design principles. Case studies of past process incidents illustrate how a chain of small deviations compounds into a major event. Students complete a hazard analysis on a process flowsheet and propose specific design changes to reduce the identified risks.",LEC,4,4,t,,,,,
CHEM-4040,CHE,Special Topics in Chemical Engineering I,"The first of a two-part special topics sequence, with content rotating by offering to cover advanced or emerging subject matter beyond the standard curriculum. Recent offerings have included nanomaterials synthesis, food process engineering, and battery manufacturing processes. Students read current research literature and complete an independent project tied to that semester's topic, and enrollment does not require having taken the second course.",LEC,4,4,t,,,,,
CHEM-4045,CHE,Special Topics in Chemical Engineering II,"The second of a two-part special topics sequence, rotating in subject matter independently of the first course and open to students regardless of which they have taken. Recent offerings have included industrial biotechnology, process safety analytics, and sustainable polymer design. Coursework centers on current literature review and a substantial independent project rather than problem sets.",LEC,4,4,t,,,,,
CIVL-1005,CIV,Introduction to Civil and Environmental Engineering,"This course surveys the civil engineering sub-disciplines students will meet later in the curriculum, including structures, geotechnical, environmental, water resources, and construction engineering. Students work in small teams on a short conceptual design problem, practicing engineering drawing basics, unit conversions, and simple load and quantity estimates. Case studies of real infrastructure projects show how the sub-disciplines interact on a single project. The course also introduces professional norms such as codes, standards, and the engineer's responsibility to public safety.",LEC,4,1,t,,,,,
CIVL-1010,CIV,Civil Engineering Materials,"Concrete, steel, wood, and asphalt are examined through their microstructure, mechanical properties, and modes of failure, giving students a materials science grounding for later design courses. Topics include stress strain behavior, durability and deterioration mechanisms, and the standard specifications used to select materials for structural and pavement applications. Lectures connect material behavior to real construction failures and case histories.",LEC,4,1,t,,,,,
CIVL-1015,CIV,Civil Engineering Materials Laboratory,"Standard tests on concrete, steel, asphalt, and wood specimens let students observe firsthand the mechanical behavior covered in the companion lecture, including tension and compression testing, slump and air content measurement, and failure mode analysis. Each session produces raw data that students reduce into stress strain curves and material property reports. Laboratory companion to CIVL-1010.",LAB,2,1,t,,,,,
CIVL-2005,CIV,Mechanics of Materials,"This course develops the relationship between applied loads and internal stress and strain in solid bodies, starting from axial loading and extending to torsion, bending, and combined loading conditions. Students compute stresses and deflections in beams and shafts, apply Mohr's circle to transform stress states, and evaluate columns for buckling. Failure theories for ductile and brittle materials connect the mechanics to real material selection decisions. The course builds the mechanics foundation used throughout later structural and geotechnical design courses.",LEC,4,2,t,,,,,
CIVL-2010,CIV,Fluid Mechanics,"A rigorous treatment of fluid mechanics fundamentals: the Navier-Stokes equations, dimensional analysis and similarity, laminar and turbulent internal flow, and boundary layer behavior over submerged bodies. Applications are drawn from both process piping systems and open-channel and external flow problems, reflecting the course's shared audience. Problem sets require students to select and justify appropriate simplifying assumptions rather than apply a single fixed method. Cross-listed with CHEM-3020.",LEC,4,2,t,,,,,
CIVL-2015,CIV,Structural Analysis,"This course analyzes determinate and indeterminate trusses, beams, and frames to find internal forces, reactions, and deflections under static loads. Students apply virtual work and moment distribution methods by hand, then move to matrix stiffness formulations solved with computational tools for larger frame problems. Influence lines and moving load analysis prepare students for bridge and crane girder applications. The course also introduces the dynamic response of simple structural systems to time varying loads, including natural frequency and basic vibration behavior.",LEC,4,2,t,,,,,
CIVL-3005,CIV,Geotechnical Engineering,"Soil classification, effective stress, consolidation, and shear strength are introduced as the basis for analyzing how soils support and interact with civil infrastructure. Students work through settlement calculations, bearing capacity estimates, and slope stability screening using classical soil mechanics methods. Site investigation techniques and the interpretation of boring logs and laboratory soil tests round out the course.",LEC,4,3,t,,,,,
CIVL-3010,CIV,Geotechnical Engineering Laboratory,"Standard geotechnical tests give hands-on experience with the soil behavior covered in the companion lecture, including sieve and hydrometer gradation, Atterberg limits, compaction, and direct shear testing. Students prepare specimens, run each test to specification, and reduce raw readings into classification and strength parameters used in design. Laboratory companion to CIVL-3005.",LAB,2,3,t,,,,,
CIVL-3015,CIV,Aquatic Chemistry,"Acid base equilibria, carbonate chemistry, and redox reactions in natural and engineered water systems form the core of this course. Coverage includes solubility and precipitation, complexation, and the chemical speciation calculations used to predict how contaminants behave in lakes, rivers, and treatment systems. Problem sets emphasize equilibrium modeling and interpreting water chemistry data rather than laboratory technique.",LEC,4,3,t,,,,,
CIVL-3020,CIV,Aquatic Chemistry Laboratory,"Bench experiments give hands-on grounding in the equilibrium concepts covered in the companion lecture, including titrations for alkalinity and hardness, pH and conductivity measurement, and simple precipitation and complexation trials. Students calibrate instruments, collect and reduce data, and write formal laboratory reports comparing measured results to equilibrium predictions. Laboratory companion to CIVL-3015.",LAB,2,3,t,,,,,
CIVL-3025,CIV,Environmental Engineering Analysis,"Mass balances on pollutants moving through natural and engineered systems anchor this course, applied to lakes, groundwater, and treatment trains alike. Students quantify how contaminants partition, degrade, and accumulate using reaction kinetics and mass balance models, and interpret water and air quality parameters such as dissolved oxygen, biochemical oxygen demand, and particulate concentration against regulatory standards. Later sessions size treatment processes as chemistry and mass balance problems, sequencing unit operations to meet an effluent or ambient target.",LEC,4,3,t,,,,,
CIVL-3030,CIV,Environmental Engineering Analysis Laboratory,"Bench and pilot scale experiments cover water and wastewater treatment unit processes, including coagulation flocculation jar tests, filtration, disinfection kinetics, and biochemical oxygen demand measurement. Students collect samples, run standard analytical methods for common water quality parameters, and interpret results against treatment performance targets. Reports emphasize connecting measured removal efficiencies to the underlying treatment mechanism. Laboratory companion to CIVL-3025.",LAB,2,3,t,,,,,
CIVL-3035,CIV,Principles of Sustainable Engineering,"Core sustainability concepts for engineering practice are introduced, including life cycle thinking, resource efficiency, and a triple bottom line framework for weighing environmental, economic, and social outcomes. Students apply simple screening tools to compare design alternatives for energy use, materials, and waste, drawing examples from buildings, transportation, and water systems. The course serves as a conceptual foundation rather than a design methods course.",LEC,4,3,t,,,,,
CIVL-3040,CIV,Building Information Modeling,"Parametric 3D modeling software and the BIM workflow are introduced through building and infrastructure case studies, covering model authoring, clash detection, and quantity takeoff. Students build discipline specific models and coordinate them across architectural, structural, and mechanical layers to catch conflicts before construction. Coursework also covers model based scheduling and the data standards that let BIM models move between project teams.",LEC,4,3,t,,,,,
CIVL-3045,CIV,Design of Hydraulic Systems,"Pipe networks, pump stations, and open channel conveyances are sized in this design oriented course covering pressurized flow, pump selection curves, and uniform and gradually varied open channel flow. Students design water distribution and stormwater conveyance systems, checking head losses, surge effects, and channel capacity against design storms. Coursework culminates in a system design project with hydraulic calculations and drawings.",LEC,4,3,t,,,,,
CIVL-3050,CIV,Design of Reinforced Concrete Structures,"Flexural, shear, and axial design of reinforced concrete beams, slabs, and columns is developed from first principles of strain compatibility and equilibrium. Students size reinforcement for strength and serviceability limit states, check deflection and crack control requirements, and complete a multi member design project following standard design provisions. Design examples progress from individual members to a coordinated frame, connecting member level decisions to overall structural behavior.",LEC,4,3,t,,,,,
CIVL-3055,CIV,Design of Reinforced Concrete Structures Laboratory,"Physical models and instrumented specimens illustrate the reinforced concrete behavior covered in the companion lecture, including beam and slab load tests to observe cracking, deflection, and failure mode. Students instrument test specimens with strain gauges, record load deflection response, and compare measured capacity to hand calculated design values. Laboratory companion to CIVL-3050.",LAB,2,3,t,,,,,
CIVL-3060,CIV,Construction Contracting,"Contract types, bidding procedures, and risk allocation between owners, designers, and contractors are examined through the legal and business structure of construction projects. Students review delivery methods such as design bid build and design build, analyze sample contract clauses, and work through change order and claims scenarios. The course builds the business literacy needed to manage a construction project rather than design one.",LEC,4,3,t,,,,,
CIVL-3065,CIV,Construction Contracting Laboratory,"Simulated project scenarios let students practice the contracting skills covered in the companion lecture, including preparing a competitive bid package, negotiating a mock change order, and drafting a claims response memo. Teams role play owner, contractor, and designer positions and present their positions in a short mock negotiation. Laboratory companion to CIVL-3060.",LAB,2,3,t,,,,,
CIVL-4005,CIV,Senior Design I,"Working in small teams, students define the scope of a realistic civil engineering project and develop conceptual design alternatives against owner and regulatory requirements. Teams complete preliminary calculations, research applicable codes and standards, and select a design direction supported by a written feasibility comparison. The course culminates in a formal project proposal document and an oral presentation to a review panel. Deliverables set up the detailed design work completed in the second half of the sequence.",LEC,4,4,t,,,,,
CIVL-4010,CIV,Senior Design II,"Teams carry their proposal forward into detailed design, producing calculations, drawings, and specifications sufficient for construction level review. Students prepare a cost estimate and schedule for their project and reconcile design decisions against the constraints identified during the first half of the sequence. The course concludes with a comprehensive final report and a formal presentation to a review panel of practicing engineers and faculty. Emphasis falls on integrating structural, geotechnical, environmental, or construction considerations into a single coherent design.",LEC,4,4,t,,,,,
CIVL-4015,CIV,Fundamentals of Air Quality Engineering,"This course examines ambient and indoor air pollution problems in depth, covering criteria pollutants, emission inventories, and the atmospheric processes governing pollutant dispersion. Students perform mass emission calculations, apply Gaussian plume models to estimate downwind concentrations, and evaluate regulatory standards and monitoring network design. Control technologies for particulate and gaseous pollutants are analyzed at the process level, including selection criteria for specific industrial and combustion sources.",LEC,4,4,t,,,,,
CIVL-4020,CIV,Environmental Process Engineering,"Unit operations used in water and wastewater treatment trains are designed at the reactor level, covering sedimentation basin sizing, filter design, activated sludge reactor kinetics, and disinfection contact time. Students size individual treatment processes against loading and effluent targets, then sequence them into a complete treatment train, incorporating hydraulic profile and flow rate considerations across the plant. Design projects require students to balance capital cost, land area, and effluent quality tradeoffs across the full treatment train.",LEC,4,4,t,,,,,
CIVL-4025,CIV,Sustainable Cities,"Urban systems are examined through a sustainability lens, covering compact development, urban water and energy systems, green infrastructure, and transportation electrification at the city scale. Students analyze case studies of cities pursuing carbon reduction and climate resilience goals, and complete a project proposing sustainability interventions for a specific urban system. The course applies sustainability concepts at the scale of whole cities rather than individual buildings or products.",LEC,4,4,t,,,,,
CIVL-4030,CIV,Prestressed Concrete,"Pretensioned and post tensioned concrete member design is developed, covering prestress losses, transfer and development length, and flexural and shear capacity of prestressed sections. Students design bridge girders and building members for both service load and ultimate strength limit states, accounting for camber and long term losses. Design examples emphasize the added serviceability benefits of controlling long term deflection and crack formation through applied prestress.",LEC,4,4,t,,,,,
CIVL-4035,CIV,Structural Reliability,"Probabilistic methods for quantifying structural safety are introduced, covering random variable modeling of loads and resistance, reliability indices, and the calibration of load and resistance factors used in design codes. Students compute failure probabilities for simple structural elements and compare deterministic safety factors to reliability based design approaches. The course connects probability theory directly to the safety margins embedded in structural design codes.",LEC,4,4,t,,,,,
CIVL-4040,CIV,Advanced Soil Mechanics,"This course develops critical state soil mechanics, advanced consolidation theory, and constitutive models for predicting nonlinear soil stress strain behavior. Students work through laboratory data interpretation for triaxial and consolidation tests and apply advanced settlement and deformation analyses to layered and anisotropic soil profiles. Case examples compare model predictions against field settlement records for structures founded on soft or layered ground.",LEC,4,4,t,,,,,
CIVL-4045,CIV,"Slopes, Dams, and Retaining Structures","Earth retention and impoundment structures are analyzed, covering slope stability methods, retaining wall design, and the geotechnical design of earthen and concrete dams. Students evaluate failure surfaces and factors of safety for natural and engineered slopes, and size retaining structures and dam sections against overturning, sliding, and seepage related failure modes. Case studies examine historical slope and dam failures to illustrate design lessons.",LEC,4,4,t,,,,,
CIVL-4050,CIV,Construction Engineering and Equipment,"Heavy construction equipment selection and the engineering behind earthmoving, lifting, and material handling operations are covered, including production rate estimating and equipment cost analysis. Students size equipment fleets for excavation and paving operations and evaluate productivity tradeoffs between machine types and crew configurations. Case studies cover large scale earthwork and heavy civil projects.",LEC,4,4,t,,,,,
CIVL-4055,CIV,Professional Issues and Design,"Engineering ethics, licensure, liability, and professional practice standards anchor this course, paired with a substantial design exercise that lets students apply codes and standards research to a realistic project scenario. Students document design decisions, evaluate alternative solutions against professional and regulatory constraints, and present their work to a review panel. Case studies of engineering failures and ethical lapses anchor discussion of professional responsibility and public safety obligations.",LEC,4,4,t,,,,,
COMP-1005,COM,Data Structures and Algorithms,"Arrays, linked lists, stacks, queues, trees, and hash tables are introduced alongside the algorithms that operate on them, including basic sorting, searching, and traversal routines. Asymptotic analysis is taught as a practical tool for choosing between structures rather than as a standalone topic. Programming exercises require implementing each structure from scratch before using built-in equivalents.",LEC,4,1,t,,,,,
COMP-1010,COM,Data Structures and Algorithms Laboratory,"Weekly exercises have students implement and benchmark the structures introduced in lecture, building a linked list, a binary search tree, and a hash table with collision handling, then timing each against a reference implementation. Later sessions add a small sorting-algorithm shootout and a short written report comparing measured performance to predicted asymptotic behavior. Laboratory companion to COMP-1005.",LAB,2,1,t,,,,,
COMP-1015,COM,Computer Architecture,"Digital logic design anchors this introduction to how computers are built, moving from gates and flip-flops through combinational and sequential circuits to a complete single-cycle datapath and control unit. Coverage includes instruction set design, number representation, and an early look at pipelining as a performance technique. Problem sets emphasize tracing signals through a circuit rather than writing software.",LEC,4,1,t,,,,,
COMP-1020,COM,Computer Architecture Laboratory,"Hands-on exercises translate the architecture lecture into working hardware: students wire and simulate combinational and sequential logic circuits, build a simple datapath from adders, multiplexers, and registers, and step a toy instruction set through fetch-decode-execute by hand. Weekly lab reports document circuit diagrams, timing measurements, and debugging notes. Laboratory companion to COMP-1015.",LAB,2,1,t,,,,,
COMP-2005,COM,Algorithms,"Algorithm design and analysis form the spine of this course, covering asymptotic notation, divide-and-conquer, greedy strategies, and dynamic programming through problems like sorting, shortest paths, and interval scheduling. Students prove correctness and derive running-time bounds by hand before implementing solutions in code. Graph traversal (breadth-first and depth-first search) and an introduction to NP-completeness close out the term.",LEC,4,2,t,,,,,
COMP-2010,COM,Introduction to Operating Systems,"Processes, threads, scheduling algorithms, virtual memory, and file systems are examined both conceptually and through kernel-level code walkthroughs. Programming assignments implement a simple scheduler and a basic memory allocator on a teaching operating system. The course frames each mechanism as a solution to a specific resource-sharing problem rather than as an isolated feature to memorize.",LEC,4,2,t,,,,,
COMP-3005,COM,Computer Networks,"This course builds the protocol stack from the wire up, covering framing and addressing at the link layer, routing and forwarding at the network layer, and reliable delivery and congestion control at the transport layer. Students trace live packet captures to connect textbook protocol diagrams to observed traffic, and a sequence of programming assignments builds a simple reliable transport protocol on top of an unreliable channel. Naming, address translation, and basic network application design round out the term.",LEC,4,3,t,,,,,
COMP-3010,COM,Software Engineering,"Requirements gathering, architectural design, version control discipline, automated testing, and code review are practiced across a semester-long team project rather than taught as separate topics. Design patterns and common architectural styles are introduced as vocabulary for discussing tradeoffs, not as rules to follow blindly. Teams present their system's evolution, including decisions later reversed, as part of the final deliverable.",LEC,4,3,t,,,,,
COMP-3015,COM,Theory of Computation,"This course develops the formal models that define what computation can and cannot do, starting with finite automata and regular languages, moving through context-free grammars and pushdown automata, and arriving at Turing machines as a general model of computation. Students prove closure properties, construct machines for given languages, and work through the halting problem to see why some problems have no algorithmic solution. A closing unit on complexity classes connects the theory back to the running-time analysis used elsewhere in the curriculum.",LEC,4,3,t,,,,,
COMP-3020,COM,Database Management Systems,"The relational model, normalization, and query design form the core of this course, taught through extensive practice writing and optimizing structured queries against realistic schemas. Later weeks cover transaction management, concurrency control, and indexing strategies that keep large databases fast and consistent. A term project has students design a schema from a set of business requirements and defend their normalization choices.",LEC,4,3,t,,,,,
COMP-3025,COM,Introduction to Computer Security,"This course surveys why systems get compromised, covering common attack categories, basic cryptographic primitives, authentication mechanisms, and secure coding habits like input validation. Case studies of real breaches illustrate how small design mistakes lead to large consequences. Students leave with the vocabulary and threat models used throughout the security electives that follow.",LEC,4,3,t,,,,,
COMP-3030,COM,Introduction to Computer Security Laboratory,"Students probe deliberately vulnerable sample applications to find and exploit common weaknesses such as buffer overflows, SQL injection, and weak password storage, then patch the same code and verify the fix. Later exercises cover setting up a basic firewall and encrypting files with a symmetric cipher. Each session ends with a short writeup of what was broken and how it was fixed. Laboratory companion to COMP-3025.",LAB,2,3,t,,,,,
COMP-3035,COM,Introduction to Machine Learning,"This course surveys supervised and unsupervised learning through linear and logistic regression, k-nearest neighbors, decision trees, and k-means clustering, with an emphasis on applying existing libraries correctly rather than deriving methods from scratch. Students work through a sequence of small labeled datasets to build intuition for overfitting and model evaluation. The course serves as an accessible entry point into the subject ahead of the more mathematical treatment in later coursework.",LEC,4,3,t,,,,,
COMP-3040,COM,Computer Vision,"A first look at how machines interpret images, covering image formation, pixel-level filtering, edge and corner detection, and simple color and shape based object recognition. Assignments use small, well-lit datasets to build intuition for why vision is hard before any heavy mathematics enters the picture. The course favors working demonstrations over derivation, previewing the geometric and statistical machinery taken up rigorously in advanced coursework.",LEC,4,3,t,,,,,
COMP-3045,COM,Foundations of Artificial Intelligence,"Classical search, knowledge representation, first-order logic, and automated planning form the theoretical core of this course, with each topic grounded in worked examples such as puzzle-solving agents and constraint satisfaction problems. A short unit on learning agents previews the statistical methods taken up in dedicated machine learning courses. Problem sets emphasize formal representation and proof over implementation.",LEC,4,3,t,,,,,
COMP-3050,COM,Computer Game Design,"Game design is treated as an engineering discipline here, covering the rendering pipeline, collision detection, game loops and frame timing, and basic AI for non-player characters, alongside design fundamentals like pacing, difficulty curves, and player feedback loops. Teams prototype and playtest a small original game over the term, iterating on mechanics based on observed player behavior. Readings draw on both established game engines and design case studies.",LEC,4,3,t,,,,,
COMP-3055,COM,User Interface Development,"Human-computer interaction principles, including cognitive load, affordance, and accessibility, are paired with hands-on prototyping and usability testing across the term. Students build interactive prototypes, run structured usability sessions with real test subjects, and revise designs based on observed friction points rather than intuition alone. The course closes with a comparative evaluation of two interface designs for the same task.",LEC,4,3,t,,,,,
COMP-4005,COM,Senior Design I,"Small teams identify a substantial engineering problem, scope its requirements, and produce a design proposal defensible to a faculty panel. Work includes a feasibility study, an architecture document, a project plan with milestones, and a working proof-of-concept for the riskiest part of the design. Written and oral reviews at the end of the term set the baseline that the following implementation course builds from.",IND,2,4,t,,,,,
COMP-4010,COM,Senior Design II,"Teams carry the proposal from the first term into a complete, working system, iterating through implementation, integration, and testing while tracking scope against the original plan. Regular milestone reviews surface schedule risk early, and teams revise design decisions when testing reveals a proposal assumption was wrong. The term ends with a public demonstration and a written report documenting what was built and why.",IND,2,4,t,,,,,
COMP-4015,COM,Machine Learning,"Building on a probability and linear algebra foundation, this course develops the mathematics behind regression, classification, and clustering methods, including gradient-based optimization, regularization, and bias-variance tradeoffs. Students implement core algorithms rather than only calling library functions, and a project applies cross-validation to select among competing models on a nontrivial dataset. A brief unit introduces feedforward neural networks as a bridge to further study.",LEC,4,4,t,,,,,
COMP-4020,COM,Foundations of Computer Vision,"This advanced treatment develops the mathematics underlying modern vision systems: projective geometry, camera calibration, epipolar geometry for stereo reconstruction, and optimization methods used to fit models to noisy image data. Derivations are carried through in detail and then verified against implemented code on real image sequences. The course prepares students to read current vision research rather than only apply existing tools.",LEC,4,4,t,,,,,
COMP-4025,COM,Advanced Artificial Intelligence,"Building directly on classical AI foundations, this course covers modern deep learning architectures, reinforcement learning, and multi-agent systems, with readings drawn from current research papers rather than a fixed textbook. Students reproduce results from a recent paper and extend or critique the approach in a final project. Discussion sections function as a seminar, evaluating claims and comparing competing architectures.",LEC,4,4,t,,,,,
COMP-4030,COM,Computer Network Security,"Network-layer and transport-layer attacks, including spoofing, denial of service, and traffic interception, are examined alongside the defenses built to counter them: firewalls, intrusion detection systems, and protocols like TLS and VPN tunneling. Case studies trace how real incidents exploited gaps between protocol design and deployment. The course builds toward designing a defensible network topology able to withstand each attack category covered.",LEC,4,4,t,,,,,
COMP-4035,COM,Compiler Construction,"Students build a working compiler in stages across the term, starting with a lexical analyzer and recursive-descent parser, moving through semantic analysis and type checking, and finishing with code generation for a simplified target machine. Each stage runs against a shared test suite so bugs surface early rather than at the end. The course treats the compiler pipeline as a template for any tool that translates one structured language into another.",LEC,4,4,t,,,,,
COMP-4040,COM,Parallel Computer Architecture,"Multicore processor design, cache coherence protocols, and vector and SIMD execution units are covered alongside the programming models used to exploit them, including shared-memory threading and data-parallel kernels. Case studies compare architectural tradeoffs across real multicore and accelerator designs. Lab-style exercises measure speedup and identify contention as parallelism increases on actual hardware.",LEC,4,4,t,,,,,
COMP-4045,COM,Programming and Data Structures,"This advanced course treats data structures as engineering decisions made under real constraints: cache behavior, memory footprint, and concurrent access all shape which structure belongs in a given system. Topics include balanced trees, tries, disjoint-set structures, and lock-free queues, each implemented and profiled rather than taken on faith. A substantial project embeds several of these structures inside a larger piece of software and measures the effect of each choice on overall performance.",LEC,4,4,t,,,,,
COMP-4050,COM,Web Systems,"Client-server architecture, statelessness, caching layers, and the protocols that hold a modern web application together are examined at senior depth, including how systems are designed to scale under load and resist common attacks like injection and cross-site scripting. Case studies trace real outages back to violated assumptions about request volume or trust boundaries. The course treats the web as a distributed system in its own right, not a single application running on one machine.",LEC,4,4,t,,,,,
COMP-4055,COM,Web Systems Laboratory,"Students stand up a multi-tier web application from scratch, wiring a client, an application server, and a persistent data store together, then load-test the result and diagnose the resulting bottlenecks. Later sessions add authentication, input sanitization, and a deployment behind a reverse proxy. Each milestone requires a short report on what broke under load and how it was fixed. Laboratory companion to COMP-4050.",LAB,2,4,t,,,,,
EENG-1005,ENG,Introduction to Electric Circuits,"Node-voltage and mesh-current analysis, Thevenin and Norton equivalents, and superposition are developed for resistive networks and then extended to circuits with capacitors and inductors under sinusoidal steady-state excitation using phasors. Transient response of first- and second-order RLC circuits is solved using differential equations rather than the qualitative treatment given in earlier survey courses. The course is aimed at students who need a rigorous analytical toolkit before proceeding to devices and systems courses.",LEC,4,1,t,,,,,
EENG-1010,ENG,Introduction to Electric Circuits Laboratory,"Node and mesh analysis techniques from lecture are verified on the bench here, with students building resistive networks and measuring node voltages and branch currents against hand calculations using Thevenin and Norton equivalents. Later sessions extend to AC steady-state measurements with a function generator and oscilloscope, checking phasor predictions against measured amplitude and phase. Laboratory companion to EENG-1005.",LAB,2,1,t,,,,,
EENG-1015,ENG,Introduction to Logic Design,"Boolean algebra, truth tables, and systematic minimization techniques provide the tools for reducing combinational logic to a small set of gates, and the course then extends to sequential circuits built from flip-flops, counters, and simple finite-state machines. Design examples range from an adder built from basic gates to a state machine controlling a small sequence of outputs. The course establishes the digital design foundation assumed by later courses in embedded systems and integrated circuits.",LEC,4,1,t,,,,,
EENG-2005,ENG,Analog Circuits,"Operational amplifiers, diodes, and bipolar and field-effect transistors form the building blocks covered here, starting from DC biasing and small-signal models and moving through amplifier stages, active filters, and basic oscillators. Circuit analysis is paired with practical design tradeoffs such as gain-bandwidth limits, input offset, and output loading. The course establishes the vocabulary and hand-analysis techniques that later integrated-circuit and RF courses assume.",LEC,4,2,t,,,,,
EENG-2010,ENG,Analog Circuits Laboratory,"Bench work here has students build and troubleshoot the amplifier, filter, and biasing circuits introduced in lecture, using oscilloscopes, function generators, and multimeters to characterize gain, bandwidth, and distortion. Each session ends with a short written report comparing measured performance against hand-calculated predictions and explaining any discrepancies. Laboratory companion to EENG-2005.",LAB,2,2,t,,,,,
EENG-2015,ENG,Introduction to Signals and Systems,"Continuous-time and discrete-time signals are analyzed through convolution, Fourier series, and the Fourier and Laplace transforms, building a common mathematical language for the circuits, controls, and communications courses that follow. Linear time-invariant systems are characterized by impulse response and frequency response, with worked examples covering filtering, modulation, and sampling. The course treats these tools as a unified framework rather than a collection of unrelated transform tricks.",LEC,4,2,t,,,,,
EENG-2020,ENG,Introduction to Signals and Systems Laboratory,"Continuous and discrete signals generated in software and on the bench are analyzed here, with students measuring the impulse and frequency response of simple RC and RL circuits and comparing the results to convolution and Fourier predictions from lecture. A closing exercise has students design and test a basic filter against a target frequency response. Laboratory companion to EENG-2015.",LAB,2,2,t,,,,,
EENG-3005,ENG,Control Systems Analysis and Design,"Feedback systems are modeled with transfer functions and block diagrams, then analyzed for stability and transient response using root locus and frequency-response methods. The course covers proportional-integral-derivative compensation and lead-lag design, applying each technique to examples like a motor speed regulator or a temperature control loop. Simulation exercises let students verify hand designs against a simulated plant before committing to a controller.",LEC,4,3,t,,,,,
EENG-3010,ENG,Engineering Electromagnetics,"Maxwell's equations are applied in their full form here, covering wave propagation in lossy and lossless media, transmission lines, waveguides, and boundary-value problems solved for canonical geometries. Time-harmonic fields are treated with phasor notation throughout, connecting the vector calculus formulation to practical transmission-line and waveguide design. The course provides the field-theory foundation used by later courses in antennas, microwave circuits, and optics.",LEC,4,3,t,,,,,
EENG-3015,ENG,Introduction to Semiconductor Devices,"Crystalline semiconductor physics is built up from energy bands and carrier statistics to the pn junction, then applied to explain diode current-voltage behavior and the basic operation of bipolar and field-effect transistors. Depletion regions, minority carrier injection, and threshold voltage are treated with enough mathematical detail to predict device behavior in each case. The course assumes ordered crystalline material throughout, leaving disordered and amorphous semiconductors to a separate course.",LEC,4,3,t,,,,,
EENG-3020,ENG,Applied Quantum Mechanics,"This course develops the postulates of quantum mechanics into the Schrodinger equation for finite and infinite potential wells, tunneling, and the quantum harmonic oscillator, applying each result to explain electronic behavior in semiconductor structures. Perturbation theory and time-dependent problems are introduced to handle systems that lack closed-form solutions. Applications drawn from optoelectronics and nanoscale devices connect the mathematics to device behavior covered in parallel device courses.",LEC,4,3,t,,,,,
EENG-3025,ENG,Analog Integrated Circuits,"Where introductory circuit courses treat transistors as discrete parts on a breadboard, this course studies them as they behave inside an integrated circuit: current mirrors, differential pairs, and cascode stages built from matched devices sharing a common substrate. Coverage includes bias and reference generation, multistage operational amplifier topologies, and the layout and matching considerations that separate integrated design from board-level design. Students work through hand calculations of gain, bandwidth, and noise for representative amplifier architectures.",LEC,4,3,t,,,,,
EENG-3030,ENG,Integrated Microsystems Design and Fabrication,"Microfabrication is presented as a sequence of process steps: photolithography, thin-film deposition, wet and dry etching, and packaging. Students design a simple microsystem layout, such as a cantilever sensor or a microfluidic channel, that could in principle be carried through those steps, working with design rules, mask layout, and process tolerances alongside the physics of each fabrication technique. The emphasis throughout is on the manufacturing pipeline rather than on the electrical behavior of the finished device.",LEC,4,3,t,,,,,
